* 2:49pm Jan 14  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. c5(n) b8(c)
* 2. b4(M) d5(n)
* 3. b2(P) b6(K)
* 4. b8-b6 d2(g)
* 5. b6-b4 a4(r)
* 6. b4-b2 c8(m)
* 7. d3(N) b3(P)
* 8. d2-d3 b7(C)
* 9. d3-d2 a8(G)
* 10. a6(C) a6-a4
* 11. d7(N) b3-b4
* 12. b1(P) b4-b3
* 13. c1(P) b3-b4
* 14. c7(R) b5(R)
* 15. b2-b5 c2(g)
* 16. c2-c1 a5(p)
* 17. c1-b1 d8(M)
* 18. c8-d8 d6(p)
* 19. d4(m) a1(p)
* 20. a3(c) a7(p)
* 21. c3(r) a4-a7
* 22. d1(k) b4-a4
* 23. c6(p) a4-a5
* 24. a2(P) a7-a3
* 25. c4(G) a2-a1
* 26. b1-a1 c4-d4
* 27. a1-a2 c7-c6
* 28. d1-c1 a3-b3
* 29. c1-d1 b3-b2
* 30. d1-c1 b2-c2
* 31. c1-d1 c2-c1
* 32. d1-c1 c6-c5
* 33. d8-d7 d4-c4
* 34. c1-d1 c4-d4
* 35. d1-c1 d4-c4
* 36. c1-d1 c4-d4
* 37. d1-c1 d4-c4
* 38. c1-d1 c4-d4
* 39. d1-c1 d4-c4
* Draws
* Comment 0 0
0. 1484376572875
1. 1484376573094
2. 1484376573297
3. 1484376573485
4. 1484376573672
5. 1484376573860
6. 1484376574031
7. 1484376574235
8. 1484376574438
9. 1484376574625
10. 1484376574828
11. 1484376575016
12. 1484376575219
13. 1484376575422
14. 1484376575625
15. 1484376575906
16. 1484376576094
17. 1484376576297
18. 1484376576485
19. 1484376576703
20. 1484376576906
21. 1484376577094
22. 1484376577281
23. 1484376577469
24. 1484376577656
25. 1484376577844
26. 1484376578031
27. 1484376578266
28. 1484376578438
29. 1484376578625
30. 1484376578828
31. 1484376579016
32. 1484376579188
33. 1484376579375
34. 1484376579563
35. 1484376579797
36. 1484376579969
37. 1484376580141
38. 1484376580375
39. 1484376580672
40. 1484376580969
41. 1484376581266
42. 1484376581672
43. 1484376581969
44. 1484376582485
45. 1484376582860
46. 1484376583594
47. 1484376584110
48. 1484376585063
49. 1484376586360
50. 1484376590047
51. 1484376591875
52. 1484376594688
53. 1484376596844
54. 1484376600531
55. 1484376603235
56. 1484376608906
57. 1484376612953
58. 1484376617031
59. 1484376619500
60. 1484376624719
61. 1484376626453
62. 1484376630125
63. 1484376632391
64. 1484376636391
65. 1484376637672
66. 1484376640485
67. 1484376641110
68. 1484376643266
69. 1484376644656
70. 1484376647469
71. 1484376648094
72. 1484376650250
73. 1484376651531
74. 1484376654344
75. 1484376654969
76. 1484376657125
77. 1484376658438
