* 7:17pm Jan 15  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b7(p) b2(M)
* 2. d2(P) a5(G)
* 3. b8(P) b8-b7
* 4. d7(K) a6(R)
* 5. d4(r) c5(c)
* 6. b4(g) b6(m)
* 7. b6-b7 a1(P)
* 8. c5-a5 c3(C)
* 9. a4(r) d6(N)
* 10. c4(M) c1(G)
* 11. b4-c4 b1(p)
* 12. b1-a1 c8(c)
* 13. c4-c3 a3(p)
* 14. a2(n) c1-b1
* 15. a8(k) b1-a1
* 16. b3(n) a1-a2
* 17. d1(C) a2-a3
* 18. a5-a3 d1-c1
* 19. a3-a6 c1-d1
* 20. b3-a3 d1-c1
* 21. c7(p) c1-d1
* 22. c3-c4 d1-c1
* 23. c4-b4 c1-d1
* 24. a3-b3 d1-c1
* 25. b3-a3 c1-d1
* 26. a3-b3 d1-c1
* 27. b3-a3 c1-d1
* 28. a3-b3 d1-c1
* 29. b3-a3 c1-d1
* Draws
* Comment 0 0
0. 1484479044641
1. 1484479044844
2. 1484479045063
3. 1484479045281
4. 1484479045469
5. 1484479045641
6. 1484479045844
7. 1484479046078
8. 1484479046250
9. 1484479046438
10. 1484479046656
11. 1484479046875
12. 1484479047078
13. 1484479047281
14. 1484479047453
15. 1484479047672
16. 1484479047891
17. 1484479048094
18. 1484479048313
19. 1484479048485
20. 1484479048688
21. 1484479048938
22. 1484479049125
23. 1484479049328
24. 1484479049531
25. 1484479049750
26. 1484479049969
27. 1484479050391
28. 1484479050594
29. 1484479051235
30. 1484479051453
31. 1484479053172
32. 1484479053360
33. 1484479057391
34. 1484479057594
35. 1484479057797
36. 1484479057985
37. 1484479058188
38. 1484479058391
39. 1484479058703
40. 1484479058891
41. 1484479059078
42. 1484479059297
43. 1484479059516
44. 1484479059703
45. 1484479059891
46. 1484479060078
47. 1484479060313
48. 1484479060485
49. 1484479060688
50. 1484479060875
51. 1484479061078
52. 1484479061297
53. 1484479061485
54. 1484479061656
55. 1484479061891
56. 1484479062063
57. 1484479062250
