* 10:40pm Jan 15  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. c5(p) b1(R)
* 2. d3(K) a1(c)
* 3. b3(N) b1-a1
* 4. b7(m) c3(p)
* 5. c3-d3 a1-b1
* 6. c8(M) b1-a1
* 7. c6(C) a1-b1
* 8. b2(k) d7(P)
* 9. b2-b3 a4(n)
* 10. b3-b2 c1(P)
* 11. b4(P) c7(n)
* 12. a4-b4 c2(C)
* 13. d3-c3 d1(r)
* 14. b4-b3 a8(p)
* 15. c7-c6 b5(r)
* 16. d1-c1 b8(m)
* 17. b2-b1 c4(p)
* 18. a3(N) c2-c4
* 19. b8-c8 a3-b3
* 20. d4(g) c4-c1
* 21. b1-c1 d2(g)
* 22. b6(c) d6(G)
* 23. b6-d6 d8(P)
* 24. b7-c7 d5(P)
* 25. d4-d5 a6(R)
* 26. c3-d3 a7(p)
* 27. d6-a6 a5(G)
* 28. c7-d7 b3-c3
* 29. d7-d8 a5-b5
* 30. a2(M) a2-b2
* 31. c1-b1 b2-a2
* 32. c8-c7 a2-a3
* 33. b1-c1 a3-b3
* 34. c1-b1 b3-a3
* 35. b1-c1 a3-b3
* 36. c1-b1 b3-a3
* 37. b1-c1 a3-b3
* 38. c1-b1 b3-a3
* 39. b1-c1
* Draws
* Comment 0 0
0. 1484491231500
1. 1484491231735
2. 1484491231953
3. 1484491232156
4. 1484491232406
5. 1484491232610
6. 1484491232813
7. 1484491233031
8. 1484491233266
9. 1484491233453
10. 1484491233703
11. 1484491233891
12. 1484491234078
13. 1484491234281
14. 1484491234485
15. 1484491234719
16. 1484491235031
17. 1484491235250
18. 1484491235453
19. 1484491235672
20. 1484491235875
21. 1484491236094
22. 1484491237719
23. 1484491237938
24. 1484491240766
25. 1484491240969
26. 1484491243578
27. 1484491243781
28. 1484491248719
29. 1484491248922
30. 1484491254797
31. 1484491255000
32. 1484491261000
33. 1484491261219
34. 1484491263047
35. 1484491263266
36. 1484491275516
37. 1484491275766
38. 1484491283391
39. 1484491283594
40. 1484491284672
41. 1484491284891
42. 1484491291860
43. 1484491292078
44. 1484491300281
45. 1484491300500
46. 1484491303219
47. 1484491303422
48. 1484491310531
49. 1484491310719
50. 1484491318250
51. 1484491318453
52. 1484491330594
53. 1484491330797
54. 1484491343047
55. 1484491343469
56. 1484491355610
57. 1484491355953
58. 1484491368203
59. 1484491369828
60. 1484491382078
61. 1484491383610
62. 1484491395844
63. 1484491397594
64. 1484491397797
65. 1484491399563
66. 1484491411797
67. 1484491413422
68. 1484491413625
69. 1484491415406
70. 1484491415594
71. 1484491417219
72. 1484491417422
73. 1484491419125
74. 1484491419328
75. 1484491420953
76. 1484491421156
