* 10:29pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a8(p) a1(c)
* 2. b7(p) c7(g)
* 3. b3(g) b8(p)
* 4. d5(n) c8(N)
* 5. c7-c8 b1(C)
* 6. c5(c) b1-b3
* 7. a7(M) a7-b7
* 8. a8-a7 b7-a7
* 9. c8-c7 a7-b7
* 10. c7-b7 c3(r)
* 11. c3-b3 a6(N)
* 12. a1-b1 b6(R)
* 13. b7-b6 c1(G)
* 14. b6-a6 c1-b1
* 15. c2(m) d2(P)
* 16. c2-d2 a3(P)
* 17. d2-c2 b5(C)
* 18. b2(p) b1-b2
* 19. a2(K) b2-b3
* 20. d4(P) b5-d5
* 21. d8(p) a5(k)
* 22. c6(R) a2-b2
* 23. d1(n) d5-a5
* 24. a6-a5 b2-b1
* 25. c5-b5 d6(G)
* 26. b5-b3 b1-b2
* 27. d3(r) b2-c2
* 28. d3-d4 d7(M)
* 29. a4(P) d7-d8
* 30. a5-a4 b4(P)
* 31. a4-b4 c4(m)
* 32. d1-d2 c2-d2
* 33. b3-c3 d2-c2
* 34. c3-d3 c2-c1
* 35. d3-d2 c1-d1
* 36. d2-d3 d1-c1
* 37. d3-d2 c1-d1
* 38. d2-d3 d1-c1
* 39. d3-d2 c1-d1
* 40. d2-d3 d1-c1
* 41. d3-d2
* Draws
* Comment 0 0
0. 1484576957109
1. 1484576957296
2. 1484576957546
3. 1484576957765
4. 1484576957953
5. 1484576958140
6. 1484576958328
7. 1484576958546
8. 1484576958734
9. 1484576958921
10. 1484576959093
11. 1484576959281
12. 1484576959468
13. 1484576959656
14. 1484576960937
15. 1484576961187
16. 1484576962406
17. 1484576962593
18. 1484576963000
19. 1484576963187
20. 1484576963484
21. 1484576963671
22. 1484576963968
23. 1484576964187
24. 1484576964921
25. 1484576965156
26. 1484576965562
27. 1484576965765
28. 1484576966062
29. 1484576966250
30. 1484576966875
31. 1484576967078
32. 1484576967468
33. 1484576967656
34. 1484576968640
35. 1484576970031
36. 1484576972421
37. 1484576973593
38. 1484576974453
39. 1484576975296
40. 1484576976156
41. 1484576976671
42. 1484576986531
43. 1484577023687
44. 1484577035796
45. 1484577072937
46. 1484577085156
47. 1484577094968
48. 1484577097890
49. 1484577135046
50. 1484577147140
51. 1484577159250
52. 1484577169500
53. 1484577206656
54. 1484577218812
55. 1484577255984
56. 1484577268093
57. 1484577305250
58. 1484577317406
59. 1484577354593
60. 1484577366828
61. 1484577403984
62. 1484577416093
63. 1484577453250
64. 1484577454640
65. 1484577491796
66. 1484577499546
67. 1484577536687
68. 1484577536875
69. 1484577537062
70. 1484577538984
71. 1484577539171
72. 1484577539390
73. 1484577539562
74. 1484577539750
75. 1484577539937
76. 1484577540125
77. 1484577540328
78. 1484577540500
79. 1484577540687
80. 1484577540890
