* 4:01pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d4(p) a1(N)
* 2. a7(p) c4(m)
* 3. a4(C) a4-c4
* 4. a8(P) a8-a7
* 5. b4(G) d2(P)
* 6. a5(g) a7-a8
* 7. c1(P) a8-a7
* 8. d6(g) a7-a8
* 9. b3(G) a8-a7
* 10. b5(p) a7-a8
* 11. a3(m) b3-a3
* 12. b2(N) b2-b3
* 13. b6(r) a8-a7
* 14. a6(M) d3(p)
* 15. b8(M) d2-d3
* 16. d5(n) a3-a4
* 17. a5-a6 b4-b5
* 18. d4-d3 b5-b6
* 19. a6-b6 c2(R)
* 20. d8(K) d7(P)
* 21. d3-d4 b7(c)
* 22. b7-b3 d1(P)
* 23. b3-b8 c8(c)
* 24. b8-d8 c3(R)
* 25. b6-a6 c6(r)
* 26. a6-a7 c4-c6
* 27. d6-c6 a2(n)
* 28. b1(k) c1-b1
* 29. c7(p) a1-a2
* 30. c7-d7 c5(C)
* 31. c6-c5 b1-a1
* 32. c8-c3 c2-c3
* 33. d4-c4 a1-b1
* 34. c4-d4 b1-b2
* 35. d4-c4 d1-c1
* 36. c4-d4 c1-d1
* 37. d4-c4 d1-c1
* 38. c4-d4 c1-d1
* 39. d4-c4 d1-c1
* 40. c4-d4 c1-d1
* 41. d4-c4
* Draws
* Comment 0 0
0. 1484553721968
1. 1484553722140
2. 1484553722359
3. 1484553722812
4. 1484553722984
5. 1484553723218
6. 1484553723406
7. 1484553723609
8. 1484553723812
9. 1484553724015
10. 1484553724203
11. 1484553724546
12. 1484553724734
13. 1484553725062
14. 1484553725265
15. 1484553725500
16. 1484553725687
17. 1484553725890
18. 1484553726062
19. 1484553726359
20. 1484553726578
21. 1484553727015
22. 1484553727218
23. 1484553727843
24. 1484553728046
25. 1484553728546
26. 1484553728734
27. 1484553729859
28. 1484553730109
29. 1484553736031
30. 1484553736359
31. 1484553740187
32. 1484553740484
33. 1484553740671
34. 1484553740843
35. 1484553741031
36. 1484553741250
37. 1484553742781
38. 1484553743062
39. 1484553744453
40. 1484553745171
41. 1484553750125
42. 1484553751843
43. 1484553763234
44. 1484553764734
45. 1484553775453
46. 1484553783234
47. 1484553787062
48. 1484553789125
49. 1484553801312
50. 1484553804187
51. 1484553816390
52. 1484553816609
53. 1484553822765
54. 1484553823968
55. 1484553836156
56. 1484553838468
57. 1484553850640
58. 1484553859671
59. 1484553859859
60. 1484553866093
61. 1484553878312
62. 1484553882656
63. 1484553893218
64. 1484553901687
65. 1484553905218
66. 1484553905437
67. 1484553909140
68. 1484553913750
69. 1484553919281
70. 1484553919718
71. 1484553920484
72. 1484553920671
73. 1484553920875
74. 1484553921062
75. 1484553921265
76. 1484553921484
77. 1484553921671
78. 1484553921875
79. 1484553922031
80. 1484553922234
