* 4:30pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. a1(R) a3(r)
* 2. d3(G) a6(n)
* 3. d5(m) b5(C)
* 4. b5-d5 d7(P)
* 5. a5(N) a8(g)
* 6. a5-b5 b7(N)
* 7. d2(p) a7(M)
* 8. c7(p) a8-a7
* 9. d3-d2 a7-b7
* 10. d7-c7 b7-c7
* 11. c4(m) c2(c)
* 12. d2-c2 b4(c)
* 13. c2-d2 c6(M)
* 14. d4(G) b4-d4
* 15. a4(R) a3-a4
* 16. b8(P) a6-a7
* 17. b3(g) b3-a3
* 18. b6(K) d8(P)
* 19. a2(n) c1(p)
* 20. d2-c2 c7-c6
* 21. c2-c1 c8(k)
* 22. b6-c6 b2(P)
* 23. a1-a2 c3(p)
* 24. b1(p) a3-a2
* 25. b2-b1 d1(r)
* 26. c1-d1 d6(P)
* 27. b8-c8 d4-d6
* 28. c6-d6 c5(C)
* 29. c5-c3 c4-c3
* 30. b1-c1 a2-b2
* 31. d1-d2 b2-b1
* 32. c1-d1 b1-c1
* 33. d2-d3 c1-c2
* 34. d1-c1 c3-b3
* 35. c1-d1 c2-c1
* 36. d1-d2 c1-d1
* 37. d2-c2 d1-c1
* 38. c2-d2 c1-d1
* 39. d2-c2 d1-c1
* 40. c2-d2 c1-d1
* 41. d2-c2 d1-c1
* 42. c2-d2 c1-d1
* Draws
* Comment 0 0
0. 1484555452218
1. 1484555452406
2. 1484555452593
3. 1484555452812
4. 1484555453000
5. 1484555453171
6. 1484555453390
7. 1484555453593
8. 1484555453765
9. 1484555453937
10. 1484555454125
11. 1484555454281
12. 1484555454484
13. 1484555454687
14. 1484555454875
15. 1484555455703
16. 1484555455890
17. 1484555456093
18. 1484555456343
19. 1484555456625
20. 1484555456828
21. 1484555457062
22. 1484555457234
23. 1484555457562
24. 1484555457796
25. 1484555458093
26. 1484555458281
27. 1484555458828
28. 1484555459062
29. 1484555459593
30. 1484555459828
31. 1484555460656
32. 1484555460859
33. 1484555461359
34. 1484555461546
35. 1484555463062
36. 1484555463234
37. 1484555473437
38. 1484555474625
39. 1484555486765
40. 1484555486953
41. 1484555487140
42. 1484555491859
43. 1484555504078
44. 1484555510906
45. 1484555523031
46. 1484555534953
47. 1484555547078
48. 1484555551687
49. 1484555563890
50. 1484555575984
51. 1484555588093
52. 1484555600218
53. 1484555612437
54. 1484555624140
55. 1484555630312
56. 1484555642437
57. 1484555654562
58. 1484555662406
59. 1484555666906
60. 1484555667187
61. 1484555674593
62. 1484555674765
63. 1484555675000
64. 1484555675968
65. 1484555685468
66. 1484555686796
67. 1484555687000
68. 1484555689859
69. 1484555700515
70. 1484555700687
71. 1484555700906
72. 1484555701156
73. 1484555705328
74. 1484555705484
75. 1484555705656
76. 1484555705828
77. 1484555706015
78. 1484555706218
79. 1484555706437
80. 1484555706625
81. 1484555706828
82. 1484555707031
83. 1484555707203
