* 4:51pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a2(r) b4(c)
* 2. c6(g) a5(K)
* 3. d2(G) b6(p)
* 4. d6(P) a4(N)
* 5. b1(R) a4-b4
* 6. c6-d6 c8(P)
* 7. c4(M) c7(p)
* 8. c7-c8 b3(p)
* 9. a6(m) b4-b3
* 10. c2(P) c5(n)
* 11. d3(m) d2-d3
* 12. a8(G) c4-c5
* 13. b7(P) a1(r)
* 14. a1-b1 c1(R)
* 15. b1-c1 b5(M)
* 16. c1-c2 b5-b6
* 17. a6-b6 d5(k)
* 18. a2-a1 a3(C)
* 19. d5-c5 a7(p)
* 20. a7-b7 b8(p)
* 21. d4(N) a8-b8
* 22. c3(C) c3-c8
* 23. d1(c) c8-c2
* 24. d7(g) b8-b7
* 25. d8(n) b7-b6
* 26. d1-d4 d3-d4
* 27. a1-b1 b2(P)
* 28. b1-b2 c2-d2
* 29. b2-b3 d2-d6
* 30. b3-c3 d6-d8
* 31. c3-b3 d4-d5
* 32. b3-a3 b6-a6
* 33. a3-b3 d5-d4
* 34. d7-d8 d4-d3
* 35. b3-c3 d3-c3
* 36. c5-d5 c3-b3
* 37. d5-d4 b3-c3
* 38. d4-c4 c3-b3
* 39. c4-d4 b3-c3
* 40. d4-c4 c3-b3
* 41. c4-d4 b3-c3
* 42. d4-c4 c3-b3
* 43. c4-d4 b3-c3
* Draws
* Comment 0 0
0. 1484556677734
1. 1484556677937
2. 1484556678140
3. 1484556678328
4. 1484556678500
5. 1484556678656
6. 1484556678859
7. 1484556679062
8. 1484556679218
9. 1484556679390
10. 1484556679593
11. 1484556679796
12. 1484556680015
13. 1484556680234
14. 1484556680437
15. 1484556680656
16. 1484556680843
17. 1484556681187
18. 1484556681390
19. 1484556681734
20. 1484556681937
21. 1484556682328
22. 1484556682562
23. 1484556682984
24. 1484556683187
25. 1484556686109
26. 1484556686296
27. 1484556687578
28. 1484556687765
29. 1484556690156
30. 1484556690343
31. 1484556702453
32. 1484556702640
33. 1484556702843
34. 1484556704609
35. 1484556716750
36. 1484556717156
37. 1484556729265
38. 1484556731093
39. 1484556743281
40. 1484556748281
41. 1484556760406
42. 1484556763750
43. 1484556775906
44. 1484556778312
45. 1484556790437
46. 1484556790625
47. 1484556802750
48. 1484556802968
49. 1484556815171
50. 1484556818578
51. 1484556830718
52. 1484556831140
53. 1484556838671
54. 1484556850890
55. 1484556863000
56. 1484556868359
57. 1484556880546
58. 1484556882640
59. 1484556882843
60. 1484556892453
61. 1484556904625
62. 1484556910796
63. 1484556922921
64. 1484556923109
65. 1484556927812
66. 1484556928000
67. 1484556931859
68. 1484556932046
69. 1484556932250
70. 1484556932578
71. 1484556934781
72. 1484556934953
73. 1484556935171
74. 1484556935343
75. 1484556936015
76. 1484556936218
77. 1484556936421
78. 1484556936593
79. 1484556936796
80. 1484556937000
81. 1484556937171
82. 1484556937343
83. 1484556937515
84. 1484556937703
85. 1484556937906
