* 5:01pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. a6(G) d7(p)
* 2. c7(C) b3(P)
* 3. a3(c) a7(M)
* 4. a2(P) c3(P)
* 5. d8(R) d1(R)
* 6. b4(K) c1(g)
* 7. b2(p) b2-a2
* 8. b5(c) c1-d1
* 9. b4-b5 c6(N)
* 10. b3-b2 c4(m)
* 11. b2-a2 d2(r)
* 12. c3-b3 b8(p)
* 13. a2-b2 a1(P)
* 14. a1-a2 d5(p)
* 15. a2-a1 a4(n)
* 16. a1-a2 d3(m)
* 17. a2-a1 b1(g)
* 18. c5(n) c5-c6
* 19. c7-c4 a4-b4
* 20. b5-b4 a3-a6
* 21. a7-a6 a5(p)
* 22. a6-a5 a8(r)
* 23. d4(k) d6(N)
* 24. d6-d5 d4-d5
* 25. d8-d7 b1-b2
* 26. c2(C) b2-c2
* 27. c8(M) b6(P)
* 28. b6-b5 b7(G)
* 29. c8-b8 c2-c1
* 30. b8-a8 c1-b1
* 31. a1-a2 b1-a1
* 32. a2-b2 a1-b1
* 33. b2-c2 d2-c2
* 34. b3-c3 c2-d2
* 35. c3-c2 d2-c2
* 36. b4-b3 b1-c1
* 37. b3-c3 c1-b1
* 38. c3-d3 b1-c1
* 39. d3-d2 c1-b1
* 40. d2-d1 b1-c1
* 41. d1-c1 c2-d2
* 42. c1-d1 d2-c2
* 43. d1-c1 c2-d2
* 44. c1-d1 d2-c2
* 45. d1-c1 c2-d2
* 46. c1-d1 d2-c2
* 47. d1-c1 c2-d2
* Draws
* Comment 0 0
0. 1484557270968
1. 1484557271156
2. 1484557271359
3. 1484557271546
4. 1484557271718
5. 1484557271890
6. 1484557272109
7. 1484557272281
8. 1484557272484
9. 1484557272734
10. 1484557272921
11. 1484557273093
12. 1484557273296
13. 1484557273609
14. 1484557273796
15. 1484557274515
16. 1484557274687
17. 1484557274890
18. 1484557275109
19. 1484557275437
20. 1484557275625
21. 1484557275953
22. 1484557276140
23. 1484557276437
24. 1484557276625
25. 1484557276953
26. 1484557277140
27. 1484557277437
28. 1484557277593
29. 1484557277906
30. 1484557278093
31. 1484557278703
32. 1484557278890
33. 1484557279765
34. 1484557279968
35. 1484557292156
36. 1484557292343
37. 1484557304484
38. 1484557304656
39. 1484557304859
40. 1484557305046
41. 1484557313390
42. 1484557313578
43. 1484557320328
44. 1484557320531
45. 1484557331187
46. 1484557331406
47. 1484557343562
48. 1484557343765
49. 1484557355984
50. 1484557356234
51. 1484557367968
52. 1484557368171
53. 1484557380328
54. 1484557380515
55. 1484557392734
56. 1484557392921
57. 1484557405062
58. 1484557406703
59. 1484557418828
60. 1484557419015
61. 1484557419203
62. 1484557420484
63. 1484557432734
64. 1484557432937
65. 1484557433234
66. 1484557433437
67. 1484557445546
68. 1484557445750
69. 1484557457984
70. 1484557458218
71. 1484557458406
72. 1484557458593
73. 1484557459578
74. 1484557459750
75. 1484557459953
76. 1484557460140
77. 1484557460359
78. 1484557460546
79. 1484557460984
80. 1484557461281
81. 1484557470203
82. 1484557470375
83. 1484557470593
84. 1484557470781
85. 1484557470968
86. 1484557471187
87. 1484557471375
88. 1484557471562
89. 1484557471750
90. 1484557471937
91. 1484557472156
92. 1484557472343
93. 1484557472531
