* 9:55pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c2(G) c4(C)
* 2. d2(P) d1(k)
* 3. d2-d1 b1(r)
* 4. a1(p) b4(P)
* 5. c1(R) c8(r)
* 6. c1-b1 d6(p)
* 7. b1-c1 b6(n)
* 8. d1-d2 b2(P)
* 9. c1-d1 b8(g)
* 10. d1-c1 b3(G)
* 11. c1-d1 a3(M)
* 12. d1-c1 a5(P)
* 13. c1-d1 a7(C)
* 14. d1-c1 d8(N)
* 15. c3(c) c3-a3
* 16. c1-d1 c8-d8
* 17. b3-a3 d4(p)
* 18. b2-b1 d5(p)
* 19. c2-b2 a6(n)
* 20. c6(R) d7(P)
* 21. a2(N) a6-a7
* 22. c6-b6 d3(g)
* 23. a4(p) d3-d2
* 24. a3-a4 d2-d1
* 25. b2-b3 a1-b1
* 26. b5(m) b5-b6
* 27. d7-d6 a8(K)
* 28. a8-b8 d5-d6
* 29. c5(m) c5-c4
* 30. c7(M) c4-b4
* 31. b3-b4 b7(c)
* 32. c7-b7 b6-b7
* 33. b8-b7 a7-a6
* 34. a2-b2 a6-a5
* 35. a4-a5 b1-c1
* 36. b4-c4 d4-d3
* 37. b2-b1 c1-c2
* 38. c4-c3 d1-c1
* 39. b1-a1 c1-b1
* 40. a1-a2 b1-b2
* 41. a2-a3 d3-d2
* 42. a3-a4 c2-c1
* 43. a4-b4 c1-b1
* 44. c3-d3 d2-d1
* 45. d3-d2 b1-a1
* 46. d2-d3 a1-b1
* 47. d3-d2 b1-a1
* 48. d2-d3 a1-b1
* 49. d3-d2 b1-a1
* 50. d2-d3 a1-b1
* 51. d3-d2
* Draws
* Comment 0 0
0. 1484574913171
1. 1484574913375
2. 1484574913562
3. 1484574913750
4. 1484574913937
5. 1484574914140
6. 1484574914328
7. 1484574914515
8. 1484574914718
9. 1484574915000
10. 1484574915187
11. 1484574915375
12. 1484574915562
13. 1484574915750
14. 1484574915937
15. 1484574916125
16. 1484574916296
17. 1484574916609
18. 1484574916781
19. 1484574916968
20. 1484574917156
21. 1484574917359
22. 1484574917546
23. 1484574917734
24. 1484574917921
25. 1484574918109
26. 1484574918296
27. 1484574918484
28. 1484574918671
29. 1484574920718
30. 1484574920906
31. 1484574921125
32. 1484574921328
33. 1484574922500
34. 1484574922687
35. 1484574923968
36. 1484574924156
37. 1484574926312
38. 1484574926718
39. 1484574935109
40. 1484574945031
41. 1484574957250
42. 1484574963250
43. 1484574965625
44. 1484574977078
45. 1484574989296
46. 1484575001437
47. 1484575013578
48. 1484575025687
49. 1484575029593
50. 1484575036484
51. 1484575048687
52. 1484575060843
53. 1484575072968
54. 1484575085187
55. 1484575097421
56. 1484575099703
57. 1484575111937
58. 1484575124078
59. 1484575136328
60. 1484575148437
61. 1484575148609
62. 1484575160734
63. 1484575172984
64. 1484575185093
65. 1484575193046
66. 1484575198812
67. 1484575211015
68. 1484575214046
69. 1484575218828
70. 1484575220437
71. 1484575224015
72. 1484575224203
73. 1484575235984
74. 1484575236390
75. 1484575236593
76. 1484575237000
77. 1484575249125
78. 1484575249859
79. 1484575250156
80. 1484575256687
81. 1484575264359
82. 1484575271765
83. 1484575280453
84. 1484575283156
85. 1484575295265
86. 1484575295437
87. 1484575295625
88. 1484575295906
89. 1484575304859
90. 1484575305250
91. 1484575305437
92. 1484575307703
93. 1484575307890
94. 1484575308515
95. 1484575308703
96. 1484575309125
97. 1484575309296
98. 1484575309609
99. 1484575309812
100. 1484575310015
