* 5:25pm Jan 17  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c7(P) c6(K)
* 2. a3(r) b7(N)
* 3. a8(p) d7(G)
* 4. b8(c) a2(P)
* 5. b7-b8 a1(p)
* 6. a2-a1 b1(n)
* 7. d2(M) b3(n)
* 8. a6(C) a4(c)
* 9. d6(P) a4-a6
* 10. b4(M) b1-a1
* 11. a7(P) a6-c6
* 12. b4-b3 d5(p)
* 13. b3-a3 c8(r)
* 14. c3(p) c8-b8
* 15. c5(R) b5(N)
* 16. d6-d5 d4(C)
* 17. a7-a8 a5(R)
* 18. a3-b3 b6(G)
* 19. b3-c3 d1(P)
* 20. c3-b3 c1(m)
* 21. a8-a7 c4(g)
* 22. d3(m) d3-d2
* 23. c5-c6 c4-d4
* 24. d8(p) c1-d1
* 25. d7-d8 d4-d5
* 26. b2(k) b2-b3
* 27. c2(g) a1-b1
* 28. a5-a6 b1-c1
* 29. b5-a5 c1-b1
* 30. a5-b5 b1-c1
* 31. b5-a5 c1-b1
* 32. a5-b5 b1-c1
* 33. b5-a5 c1-b1
* 34. a5-b5 b1-c1
* Draws
* Comment 0 0
0. 1484645144453
1. 1484645144640
2. 1484645144828
3. 1484645145046
4. 1484645145281
5. 1484645145468
6. 1484645145656
7. 1484645145843
8. 1484645146031
9. 1484645146281
10. 1484645146562
11. 1484645146750
12. 1484645147062
13. 1484645147265
14. 1484645147578
15. 1484645147765
16. 1484645148406
17. 1484645148609
18. 1484645149140
19. 1484645149328
20. 1484645150171
21. 1484645150359
22. 1484645151421
23. 1484645151609
24. 1484645152328
25. 1484645152546
26. 1484645154484
27. 1484645154765
28. 1484645156593
29. 1484645156796
30. 1484645162546
31. 1484645162734
32. 1484645167968
33. 1484645168171
34. 1484645179500
35. 1484645179687
36. 1484645181406
37. 1484645181609
38. 1484645182656
39. 1484645182843
40. 1484645185218
41. 1484645185421
42. 1484645190640
43. 1484645222765
44. 1484645234984
45. 1484645267125
46. 1484645279234
47. 1484645311359
48. 1484645323578
49. 1484645355703
50. 1484645367812
51. 1484645399937
52. 1484645412171
53. 1484645444296
54. 1484645456515
55. 1484645456703
56. 1484645468921
57. 1484645501031
58. 1484645513156
59. 1484645545312
60. 1484645546156
61. 1484645578281
62. 1484645578453
63. 1484645610578
64. 1484645610859
65. 1484645643109
66. 1484645643296
67. 1484645675437
