* 6:12pm Jan 17  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b6(G) b5(K)
* 2. c3(p) b4(m)
* 3. b5-b4 a4(r)
* 4. b4-a4 a3(R)
* 5. d7(N) d6(g)
* 6. b7(p) d6-d7
* 7. a4-b4 d8(P)
* 8. b1(k) c8(N)
* 9. c2(R) a1(p)
* 10. c2-c3 c1(P)
* 11. c1-b1 a1-b1
* 12. d1(C) b1-c1
* 13. d2(C) c1-c2
* 14. d4(P) d5(m)
* 15. d1-c1 c5(c)
* 16. b3(c) b3-b6
* 17. a6(g) a5(r)
* 18. c3-c2 c5-c2
* 19. a8(p) d7-d8
* 20. a2(n) d3(P)
* 21. a3-a2 d8-c8
* 22. c6(M) c2-c6
* 23. c1-c6 b2(p)
* 24. c6-a6 a5-a6
* 25. a2-b2 b6-b5
* 26. b4-b5 d5-d4
* 27. b5-c5 d4-d3
* 28. b2-c2 d3-d2
* 29. b8(M) c8-b8
* 30. c7(P) d2-c2
* 31. c4(G) b7-c7
* 32. a7(n) c2-d2
* 33. c4-d4 d2-d1
* 34. d4-d3 d1-c1
* 35. d3-d2 a6-b6
* 36. d2-d1 c1-b1
* 37. d1-c1 b1-a1
* 38. c1-d1 a1-b1
* 39. d1-c1 b1-a1
* 40. c1-d1 a1-b1
* 41. d1-c1 b1-a1
* 42. c1-d1 a1-b1
* 43. d1-c1
* Draws
* Comment 0 0
0. 1484647935203
1. 1484647935453
2. 1484647935640
3. 1484647935781
4. 1484647935968
5. 1484647936171
6. 1484647936390
7. 1484647936578
8. 1484647936734
9. 1484647936906
10. 1484647937125
11. 1484647937312
12. 1484647937531
13. 1484647937734
14. 1484647938015
15. 1484647938218
16. 1484647938531
17. 1484647938796
18. 1484647939187
19. 1484647939421
20. 1484647940968
21. 1484647941187
22. 1484647941390
23. 1484647941609
24. 1484647942562
25. 1484647942734
26. 1484647943687
27. 1484647943890
28. 1484647946500
29. 1484647946718
30. 1484647952171
31. 1484647952468
32. 1484647962250
33. 1484647963343
34. 1484647975546
35. 1484647975750
36. 1484647975984
37. 1484647976187
38. 1484647988390
39. 1484647990937
40. 1484648003125
41. 1484648003328
42. 1484648015515
43. 1484648015718
44. 1484648027843
45. 1484648049968
46. 1484648062078
47. 1484648074703
48. 1484648086828
49. 1484648087234
50. 1484648087421
51. 1484648088421
52. 1484648096453
53. 1484648096765
54. 1484648097187
55. 1484648097359
56. 1484648097546
57. 1484648097750
58. 1484648098609
59. 1484648098812
60. 1484648107046
61. 1484648108250
62. 1484648114843
63. 1484648117000
64. 1484648123359
65. 1484648123546
66. 1484648123734
67. 1484648123937
68. 1484648124140
69. 1484648124343
70. 1484648124843
71. 1484648125046
72. 1484648126328
73. 1484648126500
74. 1484648126703
75. 1484648126921
76. 1484648127140
77. 1484648127328
78. 1484648127500
79. 1484648127703
80. 1484648127890
81. 1484648128109
82. 1484648128328
83. 1484648128515
84. 1484648128718
