* 10:08pm Jan 17  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a7(k) a6(C)
* 2. a7-a6 a5(K)
* 3. a6-a5 a4(p)
* 4. b2(g) a3(n)
* 5. d7(m) b4(R)
* 6. c1(p) c4(g)
* 7. c4-b4 d1(P)
* 8. c1-d1 d2(M)
* 9. d6(G) d2-d1
* 10. d8(m) d1-c1
* 11. b7(P) b7-a7
* 12. b6(n) c1-d1
* 13. a1(p) d1-c1
* 14. b1(N) b1-a1
* 15. c8(p) d6-d7
* 16. b5(N) d7-d8
* 17. b4-b5 c7(c)
* 18. c2(P) b8(P)
* 19. b2-c2 b3(r)
* 20. c2-c1 b8-c8
* 21. a2(r) c6(c)
* 22. a2-a1 a8(M)
* 23. c6-c8 d8-c8
* 24. d3(p) c8-c7
* 25. c5(P) d4(C)
* 26. b5-c5 c3(G)
* 27. d5(R) c3-b3
* 28. c5-d5 b3-a3
* 29. d5-d4 a3-b3
* 30. a1-b1 b3-c3
* 31. d3-d2 c3-b3
* 32. b1-a1 b3-c3
* 33. a1-b1 c3-b3
* 34. b1-a1 b3-c3
* 35. a1-b1 c3-b3
* 36. b1-a1 b3-c3
* 37. a1-b1 c3-b3
* Draws
* Comment 0 0
0. 1484662084250
1. 1484662084437
2. 1484662084640
3. 1484662084843
4. 1484662085062
5. 1484662085281
6. 1484662085484
7. 1484662085671
8. 1484662085859
9. 1484662086062
10. 1484662086250
11. 1484662086437
12. 1484662086625
13. 1484662086812
14. 1484662087109
15. 1484662087296
16. 1484662087546
17. 1484662087734
18. 1484662088046
19. 1484662088265
20. 1484662088578
21. 1484662088765
22. 1484662089265
23. 1484662089453
24. 1484662090093
25. 1484662090296
26. 1484662091046
27. 1484662091281
28. 1484662093031
29. 1484662093218
30. 1484662094390
31. 1484662094687
32. 1484662099796
33. 1484662100093
34. 1484662106078
35. 1484662107828
36. 1484662120046
37. 1484662120578
38. 1484662128750
39. 1484662131562
40. 1484662131765
41. 1484662141343
42. 1484662143296
43. 1484662143484
44. 1484662155687
45. 1484662155921
46. 1484662161156
47. 1484662161359
48. 1484662164828
49. 1484662169281
50. 1484662174062
51. 1484662174250
52. 1484662186484
53. 1484662213703
54. 1484662225937
55. 1484662253140
56. 1484662265250
57. 1484662292343
58. 1484662293656
59. 1484662297140
60. 1484662309375
61. 1484662336562
62. 1484662348796
63. 1484662376000
64. 1484662376218
65. 1484662392812
66. 1484662404937
67. 1484662432031
68. 1484662432234
69. 1484662432421
70. 1484662444562
71. 1484662449562
72. 1484662449781
73. 1484662449968
