* 5:18pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. a7(P) c5(n)
* 2. c4(p) a3(K)
* 3. c3(P) c4-c3
* 4. c2(k) d2(g)
* 5. a2(R) c8(p)
* 6. a4(p) a4-a3
* 7. a2-a3 b4(p)
* 8. c7(C) c1(r)
* 9. a3-a2 b6(N)
* 10. a2-a3 a1(P)
* 11. a1-a2 a5(M)
* 12. a2-a1 b3(G)
* 13. a1-a2 d1(G)
* 14. c7-c5 d6(g)
* 15. c5-c2 d2-d1
* 16. d3(r) d5(P)
* 17. b8(N) c1-c2
* 18. a2-a1 a6(m)
* 19. a5-a6 b2(R)
* 20. b2-c2 d4(p)
* 21. d8(m) d7(n)
* 22. b5(c) b5-b3
* 23. a3-b3 b7(C)
* 24. b1(P) d4-d5
* 25. c2-c3 d3-c3
* 26. b3-c3 c6(M)
* 27. a8(c) d6-c6
* 28. b8-a8 c6-b6
* 29. a6-a5 b6-b7
* 30. b1-b2 b7-b8
* 31. c3-c4 b8-a8
* 32. a1-b1 a8-a7
* 33. c4-b4 d1-c1
* 34. b1-a1 c1-b1
* 35. b4-c4 b1-a1
* 36. b2-c2 a1-b1
* 37. c2-c3 b1-a1
* 38. c3-d3 a1-b1
* 39. d3-c3 b1-a1
* 40. c3-d3 a1-b1
* 41. d3-c3 b1-a1
* 42. c3-d3 a1-b1
* 43. d3-c3 b1-a1
* Draws
* Comment 0 0
0. 1484644721734
1. 1484644721937
2. 1484644722125
3. 1484644722312
4. 1484644722500
5. 1484644722687
6. 1484644722875
7. 1484644723062
8. 1484644723250
9. 1484644723453
10. 1484644723703
11. 1484644723906
12. 1484644724093
13. 1484644724296
14. 1484644724484
15. 1484644724890
16. 1484644725078
17. 1484644725484
18. 1484644725718
19. 1484644726125
20. 1484644726312
21. 1484644726843
22. 1484644727031
23. 1484644727781
24. 1484644727984
25. 1484644728937
26. 1484644729156
27. 1484644731796
28. 1484644732437
29. 1484644735250
30. 1484644735437
31. 1484644737812
32. 1484644738109
33. 1484644743671
34. 1484644743859
35. 1484644744078
36. 1484644744265
37. 1484644747640
38. 1484644747828
39. 1484644755281
40. 1484644755468
41. 1484644766671
42. 1484644766859
43. 1484644779015
44. 1484644782703
45. 1484644784656
46. 1484644788156
47. 1484644800359
48. 1484644832484
49. 1484644844609
50. 1484644876750
51. 1484644877359
52. 1484644892640
53. 1484644904859
54. 1484644937015
55. 1484644949234
56. 1484644949421
57. 1484644961640
58. 1484644993765
59. 1484645004453
60. 1484645036578
61. 1484645037765
62. 1484645044984
63. 1484645057218
64. 1484645060687
65. 1484645072828
66. 1484645073125
67. 1484645077250
68. 1484645081703
69. 1484645093812
70. 1484645095656
71. 1484645107437
72. 1484645107625
73. 1484645119843
74. 1484645120140
75. 1484645121328
76. 1484645121515
77. 1484645125156
78. 1484645125359
79. 1484645125546
80. 1484645125750
81. 1484645125937
82. 1484645126109
83. 1484645126296
84. 1484645126484
85. 1484645126671
