* 6:04pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d3(K) c3(P)
* 2. d2(p) d2-d3
* 3. c3-d3 c8(C)
* 4. c7(m) c7-c8
* 5. b8(g) a2(N)
* 6. a1(p) b2(c)
* 7. a2-b2 c6(p)
* 8. b2-a2 c4(k)
* 9. a2-b2 a5(m)
* 10. b2-a2 d5(P)
* 11. a2-b2 d7(C)
* 12. b2-a2 b4(p)
* 13. a2-a1 d8(r)
* 14. a1-a2 d6(P)
* 15. a2-b2 b3(P)
* 16. b6(P) b4-b3
* 17. b1(g) d8-d7
* 18. c2(N) c6-d6
* 19. a4(M) a5-a4
* 20. a3(r) d6-d5
* 21. b5(R) d4(M)
* 22. c5(n) c4-d4
* 23. d3-d4 b1-b2
* 24. b5-c5 b2-c2
* 25. d4-d5 d1(c)
* 26. a6(n) a6-b6
* 27. a7(R) c1(G)
* 28. c1-c2 a8(G)
* 29. a8-b8 b7(p)
* 30. b8-c8 d1-d2
* 31. c2-d2 b3-c3
* 32. a7-a6 a3-a2
* 33. a6-b6 a2-a1
* 34. d2-d3 a1-a2
* 35. d3-c3 a2-a1
* 36. b6-b7 a1-b1
* 37. c5-c4 b1-c1
* 38. c3-d3 c1-d1
* 39. d3-d2 d1-c1
* 40. d2-c2 c1-b1
* 41. c2-d2 b1-c1
* 42. d2-c2 c1-b1
* 43. c2-d2 b1-c1
* 44. d2-c2 c1-b1
* 45. c2-d2 b1-c1
* 46. d2-c2
* Draws
* Comment 0 0
0. 1484647501187
1. 1484647501390
2. 1484647501593
3. 1484647501843
4. 1484647502031
5. 1484647502281
6. 1484647502500
7. 1484647502671
8. 1484647502859
9. 1484647503171
10. 1484647503359
11. 1484647503546
12. 1484647503750
13. 1484647503984
14. 1484647504140
15. 1484647504375
16. 1484647504546
17. 1484647504890
18. 1484647505093
19. 1484647505406
20. 1484647505593
21. 1484647505906
22. 1484647506093
23. 1484647506437
24. 1484647506609
25. 1484647507062
26. 1484647507234
27. 1484647507687
28. 1484647507890
29. 1484647508453
30. 1484647508625
31. 1484647512890
32. 1484647513062
33. 1484647519546
34. 1484647519750
35. 1484647531921
36. 1484647532125
37. 1484647544312
38. 1484647544500
39. 1484647552187
40. 1484647552406
41. 1484647559000
42. 1484647559203
43. 1484647571343
44. 1484647571531
45. 1484647583734
46. 1484647586781
47. 1484647594140
48. 1484647597703
49. 1484647597921
50. 1484647601156
51. 1484647613328
52. 1484647624781
53. 1484647636968
54. 1484647655859
55. 1484647668140
56. 1484647695203
57. 1484647707453
58. 1484647714125
59. 1484647726296
60. 1484647753453
61. 1484647765734
62. 1484647792828
63. 1484647805015
64. 1484647813390
65. 1484647825609
66. 1484647834953
67. 1484647847203
68. 1484647874421
69. 1484647880500
70. 1484647884296
71. 1484647896500
72. 1484647896750
73. 1484647904468
74. 1484647904765
75. 1484647910953
76. 1484647911140
77. 1484647911359
78. 1484647912671
79. 1484647914437
80. 1484647915046
81. 1484647915250
82. 1484647915421
83. 1484647915640
84. 1484647915875
85. 1484647916109
86. 1484647916281
87. 1484647916500
88. 1484647916718
89. 1484647916921
90. 1484647917093
