* 7:47pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. a6(R) c7(M)
* 2. c6(p) c8(P)
* 3. c7-c6 a1(g)
* 4. c5(g) c5-c6
* 5. a5(p) c2(P)
* 6. a4(p) a3(N)
* 7. a6-a5 b1(P)
* 8. b4(K) a4-b4
* 9. c4(m) a1-b1
* 10. a2(M) b1-a1
* 11. d4(G) a1-a2
* 12. d4-c4 a2-a1
* 13. b5(G) d2(P)
* 14. b5-b4 c6-c7
* 15. b7(m) a1-b1
* 16. b3(p) b2(r)
* 17. b6(r) b8(C)
* 18. a7(c) a7-a3
* 19. d7(C) b7-b8
* 20. a8(k) c7-d7
* 21. b4-b3 b8-c8
* 22. b3-a3 b1-a1
* 23. d6(c) b2-c2
* 24. d5(n) c2-d2
* 25. a5-b5 c3(n)
* 26. b5-b6 d3(P)
* 27. a3-b3 d2-d3
* 28. b6-c6 d1(R)
* 29. d1-d2 c1(p)
* 30. c6-d6 d3-d2
* 31. c4-c3 d7-d6
* 32. d8(N) c8-d8
* 33. b3-b2 d5-d4
* 34. b2-c2 a8-b8
* 35. c2-d2 a1-a2
* 36. d2-d1 c1-b1
* 37. c3-b3 b1-a1
* 38. d1-c1 d4-d3
* 39. c1-d1 a1-b1
* 40. d1-d2 d3-d4
* 41. d2-d1 b1-a1
* 42. d1-c1 d4-d3
* 43. c1-d1 a1-b1
* 44. d1-c1 b1-a1
* 45. c1-d1 a1-b1
* 46. d1-c1 b1-a1
* 47. c1-d1 a1-b1
* 48. d1-c1 b1-a1
* 49. c1-d1
* Draws
* Comment 0 0
0. 1484653637500
1. 1484653637703
2. 1484653637921
3. 1484653638125
4. 1484653638390
5. 1484653638593
6. 1484653638812
7. 1484653639015
8. 1484653639250
9. 1484653639531
10. 1484653639734
11. 1484653640062
12. 1484653640281
13. 1484653640718
14. 1484653640968
15. 1484653641562
16. 1484653641796
17. 1484653643000
18. 1484653643234
19. 1484653644640
20. 1484653644859
21. 1484653647265
22. 1484653647609
23. 1484653648484
24. 1484653648734
25. 1484653650703
26. 1484653650906
27. 1484653652437
28. 1484653652640
29. 1484653653625
30. 1484653653859
31. 1484653655390
32. 1484653655593
33. 1484653667843
34. 1484653668046
35. 1484653680296
36. 1484653681062
37. 1484653693312
38. 1484653693812
39. 1484653705937
40. 1484653706328
41. 1484653718453
42. 1484653718625
43. 1484653730859
44. 1484653731484
45. 1484653743609
46. 1484653745140
47. 1484653757312
48. 1484653758609
49. 1484653770828
50. 1484653779312
51. 1484653791437
52. 1484653800265
53. 1484653812484
54. 1484653812671
55. 1484653824781
56. 1484653824984
57. 1484653829984
58. 1484653857093
59. 1484653869343
60. 1484653896578
61. 1484653908734
62. 1484653909812
63. 1484653922031
64. 1484653924640
65. 1484653936875
66. 1484653937078
67. 1484653941203
68. 1484653941406
69. 1484653946812
70. 1484653947218
71. 1484653947671
72. 1484653947843
73. 1484653960062
74. 1484653960703
75. 1484653961031
76. 1484653962890
77. 1484653965500
78. 1484653967015
79. 1484653970984
80. 1484653971203
81. 1484653971546
82. 1484653971781
83. 1484653972093
84. 1484653972328
85. 1484653972562
86. 1484653972875
87. 1484653973078
88. 1484653973328
89. 1484653973593
90. 1484653973812
91. 1484653974078
92. 1484653974296
93. 1484653974546
94. 1484653974765
95. 1484653974953
96. 1484653975156
