* 8:42pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d4(n) a6(p)
* 2. d3(K) d3-d4
* 3. c4(C) b3(R)
* 4. c5(g) d1(P)
* 5. b5(M) b2(r)
* 6. b2-b3 b7(p)
* 7. b3-b2 a2(k)
* 8. b2-b3 c8(m)
* 9. a2-b2 c2(P)
* 10. b2-a2 a8(p)
* 11. c5-b5 d8(N)
* 12. c8-d8 c7(R)
* 13. c1(P) d6(g)
* 14. a1(P) a1-a2
* 15. b1(p) b4(G)
* 16. d2(P) b4-b5
* 17. a3(c) c1-b1
* 18. c3(G) c3-b3
* 19. a4(N) c7-b7
* 20. d7(r) b1-c1
* 21. d5(m) d4-d5
* 22. c6(c) d5-d6
* 23. c6-c2 d6-d7
* 24. b6(C) d7-d8
* 25. a7(p) c1-b1
* 26. b8(M) b3-a3
* 27. a5(n) a4-a5
* 28. c2-c3 a5-a6
* 29. c3-d3 a6-a7
* 30. d3-c3 d1-c1
* 31. c3-d3 a7-a8
* 32. d3-c3 b1-a1
* 33. c3-d3 a1-b1
* 34. d3-c3 b1-a1
* 35. c3-d3 a1-b1
* 36. d3-c3 b1-a1
* 37. c3-d3 a1-b1
* 38. d3-c3
* Draws
* Comment 0 0
0. 1484656977046
1. 1484656977234
2. 1484656977437
3. 1484656977640
4. 1484656977859
5. 1484656978062
6. 1484656978250
7. 1484656978453
8. 1484656978640
9. 1484656978859
10. 1484656979046
11. 1484656979234
12. 1484656979453
13. 1484656979640
14. 1484656979875
15. 1484656980125
16. 1484656980312
17. 1484656980609
18. 1484656981093
19. 1484656981437
20. 1484656981656
21. 1484656982093
22. 1484656982296
23. 1484656982812
24. 1484656983015
25. 1484656984203
26. 1484656984390
27. 1484656985906
28. 1484656986140
29. 1484656993687
30. 1484656995875
31. 1484657008093
32. 1484657009828
33. 1484657022062
34. 1484657022828
35. 1484657034937
36. 1484657035125
37. 1484657036640
38. 1484657036812
39. 1484657049046
40. 1484657052453
41. 1484657055531
42. 1484657070921
43. 1484657074593
44. 1484657101781
45. 1484657114453
46. 1484657139828
47. 1484657152453
48. 1484657152640
49. 1484657164859
50. 1484657191953
51. 1484657194718
52. 1484657217875
53. 1484657223218
54. 1484657250421
55. 1484657262984
56. 1484657264828
57. 1484657276953
58. 1484657277906
59. 1484657281609
60. 1484657282468
61. 1484657282656
62. 1484657282843
63. 1484657295078
64. 1484657295296
65. 1484657295515
66. 1484657295750
67. 1484657295984
68. 1484657296171
69. 1484657296406
70. 1484657296671
71. 1484657296859
72. 1484657297046
73. 1484657297250
74. 1484657297453
