* 9:12pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b8(P) a2(P)
* 2. a6(c) b4(M)
* 3. b3(R) a5(c)
* 4. c4(n) a7(g)
* 5. b4-c4 b5(G)
* 6. b5-b4 c8(P)
* 7. d4(P) c6(p)
* 8. d6(C) c1(r)
* 9. b6(N) a1(p)
* 10. b4-b5 b2(k)
* 11. a2-b2 d2(p)
* 12. b2-a2 c2(g)
* 13. b3-b2 d1(G)
* 14. b6-a6 b7(N)
* 15. a4(M) a7-b7
* 16. b5-a5 b7-b8
* 17. c5(P) d7(R)
* 18. a8(m) c2-b2
* 19. d1-c1 a1-a2
* 20. b1(n) c3(K)
* 21. a3(m) d3(r)
* 22. a4-a3 c7(C)
* 23. c3-d3 d2-d3
* 24. c1-b1 c6-c5
* 25. b1-b2 d3-d4
* 26. d6-d4 d5(p)
* 27. b2-a2 b8-c8
* 28. d8(p) c8-c7
* 29. c4-c5 c7-b7
* 30. c5-d5 b7-b6
* 31. d7-d8 b6-c6
* 32. d4-d3 c6-c5
* 33. d5-d6 c5-d5
* 34. d6-d7 d5-d4
* 35. d3-c3 d4-d3
* 36. c3-c2 d3-d2
* 37. c2-b2 d2-d1
* 38. a2-a1 d1-c1
* 39. b2-a2 c1-d1
* 40. a1-b1 d1-d2
* 41. b1-c1 d2-d3
* 42. c1-d1 d3-c3
* 43. d1-c1 c3-d3
* 44. c1-d1 d3-c3
* 45. d1-c1 c3-d3
* 46. c1-d1 d3-c3
* 47. d1-c1 c3-d3
* 48. c1-d1
* Draws
* Comment 0 0
0. 1484658793890
1. 1484658794609
2. 1484658794812
3. 1484658795015
4. 1484658795609
5. 1484658795781
6. 1484658795953
7. 1484658796140
8. 1484658796328
9. 1484658796578
10. 1484658796812
11. 1484658797000
12. 1484658797187
13. 1484658797406
14. 1484658797593
15. 1484658797796
16. 1484658798031
17. 1484658798343
18. 1484658798531
19. 1484658798734
20. 1484658798937
21. 1484658799828
22. 1484658799984
23. 1484658800406
24. 1484658800859
25. 1484658802171
26. 1484658803546
27. 1484658811156
28. 1484658814703
29. 1484658826875
30. 1484658846546
31. 1484658858718
32. 1484658861812
33. 1484658873906
34. 1484658882656
35. 1484658894781
36. 1484658894968
37. 1484658895703
38. 1484658895890
39. 1484658897750
40. 1484658914671
41. 1484658921656
42. 1484658948859
43. 1484658954968
44. 1484658982187
45. 1484658988093
46. 1484659015250
47. 1484659027390
48. 1484659054484
49. 1484659066734
50. 1484659093937
51. 1484659106062
52. 1484659133265
53. 1484659145390
54. 1484659146671
55. 1484659158906
56. 1484659186125
57. 1484659198265
58. 1484659225484
59. 1484659237609
60. 1484659264812
61. 1484659276937
62. 1484659304281
63. 1484659316484
64. 1484659322265
65. 1484659332734
66. 1484659336531
67. 1484659339453
68. 1484659341734
69. 1484659353937
70. 1484659356875
71. 1484659357046
72. 1484659357250
73. 1484659358640
74. 1484659358828
75. 1484659359015
76. 1484659360093
77. 1484659364140
78. 1484659364359
79. 1484659364578
80. 1484659365000
81. 1484659365531
82. 1484659366750
83. 1484659366953
84. 1484659367156
85. 1484659369765
86. 1484659369968
87. 1484659370171
88. 1484659370375
89. 1484659370578
90. 1484659370781
91. 1484659371015
92. 1484659371218
93. 1484659371421
94. 1484659371656
