* 10:02pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b6(P) d4(N)
* 2. d3(R) a8(P)
* 3. d2(m) d2-d3
* 4. c4(K) d3-d2
* 5. c3(G) a2(P)
* 6. d4-d3 c8(r)
* 7. d3-d4 c5(g)
* 8. c4-c5 d1(k)
* 9. d4-c4 d2-d3
* 10. c3-d3 d1-d2
* 11. b4(p) d2-d3
* 12. c4-b4 b8(p)
* 13. d5(c) b5(M)
* 14. c5-d5 b8-a8
* 15. a5(C) c7(R)
* 16. c7-c8 b1(G)
* 17. b4-c4 d6(n)
* 18. d5-d6 a6(m)
* 19. c1(P) a1(M)
* 20. d8(r) d8-c8
* 21. a4(g) d3-d4
* 22. a7(p) a4-a5
* 23. d7(p) d7-d6
* 24. b2(N) d4-c4
* 25. b3(n) b3-c3
* 26. a3(p) a5-b5
* 27. c2(P) a3-a2
* 28. c6(c) b5-b6
* 29. b7(C) b6-b7
* 30. b2-a2 c3-c2
* 31. a2-a3 c2-d2
* 32. a1-a2 d2-d1
* 33. c1-c2 c6-c2
* 34. a3-b3 c2-b2
* 35. b1-c1 d1-d2
* 36. a2-b2 d2-d3
* 37. b3-c3 d3-c3
* 38. c1-b1 c3-d3
* 39. b2-a2 d3-d2
* 40. a2-a3 d2-d1
* 41. b1-a1 d1-c1
* 42. a1-b1 c1-d1
* 43. b1-a1 d1-c1
* 44. a1-b1 c1-d1
* 45. b1-a1 d1-c1
* 46. a1-b1 c1-d1
* 47. b1-a1
* Draws
* Comment 0 0
0. 1484661740421
1. 1484661740609
2. 1484661740812
3. 1484661741000
4. 1484661741187
5. 1484661741375
6. 1484661741562
7. 1484661741750
8. 1484661741968
9. 1484661742156
10. 1484661742343
11. 1484661742546
12. 1484661742734
13. 1484661742921
14. 1484661743156
15. 1484661743343
16. 1484661743546
17. 1484661743750
18. 1484661743953
19. 1484661744156
20. 1484661744343
21. 1484661744640
22. 1484661744828
23. 1484661745031
24. 1484661745218
25. 1484661745890
26. 1484661746203
27. 1484661747281
28. 1484661747468
29. 1484661748296
30. 1484661748515
31. 1484661750031
32. 1484661750218
33. 1484661750859
34. 1484661751062
35. 1484661752156
36. 1484661752453
37. 1484661756156
38. 1484661756578
39. 1484661768703
40. 1484661769328
41. 1484661779375
42. 1484661781359
43. 1484661793578
44. 1484661794968
45. 1484661807109
46. 1484661808062
47. 1484661820296
48. 1484661820937
49. 1484661833171
50. 1484661838187
51. 1484661850421
52. 1484661851812
53. 1484661864046
54. 1484661865265
55. 1484661877500
56. 1484661900343
57. 1484661912562
58. 1484661930687
59. 1484661932218
60. 1484661932406
61. 1484661944625
62. 1484661951703
63. 1484661951921
64. 1484661952109
65. 1484661964234
66. 1484661968578
67. 1484661980781
68. 1484661990500
69. 1484662001843
70. 1484662002046
71. 1484662014281
72. 1484662015578
73. 1484662027843
74. 1484662028250
75. 1484662037515
76. 1484662037703
77. 1484662049921
78. 1484662050109
79. 1484662051625
80. 1484662051812
81. 1484662064062
82. 1484662064500
83. 1484662064687
84. 1484662064890
85. 1484662065078
86. 1484662065281
87. 1484662065484
88. 1484662065671
89. 1484662065875
90. 1484662066078
91. 1484662066265
92. 1484662066468
