* 7:35pm Jan 18  2017
* R05943148 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a2(m) b3(n)
* 2. a3(r) c6(G)
* 3. b2(k) c5(K)
* 4. a1(M) b6(p)
* 5. a4(p) a1-a2
* 6. c3(P) d6(c)
* 7. c2(R) a2-a1
* 8. d3(G) a1-a2
* 9. c4(M) a2-a1
* 10. c1(R) a1-a2
* 11. b4(C) b4-b2
* 12. b1(P) b1-a1
* 13. a5(g) c6-d6
* 14. a6(p) d7(P)
* 15. c7(g) d4(r)
* 16. c8(N) d1(c)
* 17. d8(n) c1-d1
* 18. b5(p) a2-a3
* 19. b7(P) d3-d4
* 20. b8(p) c8-d8
* 21. b8-b7 d8-c8
* 22. d2(m) b2-d2
* 23. a8(C) a3-b3
* 24. c7-c8 d5(N)
* 25. c8-c7 a7(P)
* 26. a6-a7 a8-a5
* 27. a7-a8 a1-a2
* 28. b7-b8 b3-a3
* 29. b5-c5 a3-a4
* 30. b6-b7 c4-c5
* 31. b8-c8 d4-d3
* 32. b7-b6 d1-c1
* 33. b6-b7 c1-d1
* 34. b7-b6 d1-c1
* 35. b6-b7 c1-d1
* 36. b7-b6 d1-c1
* 37. b6-b7 c1-d1
* 38. b7-b6
* Draws
* Comment 0 0
0. 1484739395062
1. 1484739395265
2. 1484739395437
3. 1484739395609
4. 1484739395796
5. 1484739396000
6. 1484739396203
7. 1484739396390
8. 1484739396593
9. 1484739396781
10. 1484739397000
11. 1484739397171
12. 1484739397343
13. 1484739397531
14. 1484739397750
15. 1484739397921
16. 1484739398093
17. 1484739398265
18. 1484739398593
19. 1484739398765
20. 1484739399203
21. 1484739399671
22. 1484739399953
23. 1484739400687
24. 1484739401078
25. 1484739402078
26. 1484739402468
27. 1484739404546
28. 1484739405156
29. 1484739418015
30. 1484739418828
31. 1484739442218
32. 1484739442875
33. 1484739470000
34. 1484739472250
35. 1484739499437
36. 1484739502453
37. 1484739529546
38. 1484739537359
39. 1484739564453
40. 1484739576578
41. 1484739603656
42. 1484739606890
43. 1484739634109
44. 1484739639656
45. 1484739666734
46. 1484739678843
47. 1484739690734
48. 1484739702828
49. 1484739703000
50. 1484739715078
51. 1484739715375
52. 1484739727484
53. 1484739754578
54. 1484739766656
55. 1484739793828
56. 1484739798171
57. 1484739825359
58. 1484739833078
59. 1484739860156
60. 1484739867109
61. 1484739894203
62. 1484739897203
63. 1484739910296
64. 1484739918328
65. 1484739928250
66. 1484739931265
67. 1484739931453
68. 1484739939406
69. 1484739939593
70. 1484739942625
71. 1484739942812
72. 1484739950750
73. 1484739950937
74. 1484739953968
