* 7:46pm Jan 18  2017
* a1 vs R05943148
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b7(c) a7(P)
* 2. a6(N) b6(P)
* 3. b5(M) b4(p)
* 4. b7-b5 b6-b7
* 5. c7(C) b7-b6
* 6. a8(p) a7-a8
* 7. b8(m) b3(G)
* 8. b5-b3 b2(p)
* 9. b8-a8 c7-b7
* 10. a8-a7 b7-b4
* 11. a7-a6 b4-b2
* 12. c6(R) a3(m)
* 13. b3-b4 d6(n)
* 14. b1(M) c4(C)
* 15. a6-a7 c1(p)
* 16. b4-b1 d1(n)
* 17. c3(k) a1(G)
* 18. b1-b6 c2(g)
* 19. c2-b2 c4-c1
* 20. c3-c2 c5(c)
* 21. c2-c1 c6-b6
* 22. a3-b3 a1-b1
* 23. b2-b1 b6-c6
* 24. d2(R) d2-d1
* 25. d5(g) a2(K)
* 26. d7(P) d3(p)
* 27. a4(r) c8(P)
* 28. d8(N) d4(r)
* 29. a7-b7 c8-b8
* 30. d6-d7 d8-d7
* 31. a5(P) b8-a8
* 32. a4-a5 d1-d2
* 33. a5-b5 a2-b2
* 34. b3-b4 c6-c5
* 35. b5-b6 b2-b3
* 36. b4-c4 c5-b5
* 37. b6-b5 b3-b4
* 38. c4-c3 b4-b5
* 39. d5-d6 d2-d3
* 40. d4-d3 d7-c7
* 41. b7-c7 b5-c5
* 42. d6-d7 c5-c6
* 43. c7-c8 c6-c7
* 44. d7-d8 c7-c8
* 45. d8-d7 c8-c7
* 46. d7-d6 c7-c6
* 47. d6-d7 c6-c5
* 48. b1-b2 c5-c4
* 49. c1-c2 c4-d4
* 50. d3-d2 d4-d3
* 51. d2-d1 d3-d4
* 52. d1-c1 d4-d3
* 53. c1-d1 d3-d4
* 54. d1-c1 d4-d3
* 55. c1-d1 d3-d4
* 56. d1-c1 d4-d3
* 57. c1-d1 d3-d4
* Draws
* Comment 0 0
0. 1484739971593
1. 1484739971765
2. 1484739971921
3. 1484739972125
4. 1484739972281
5. 1484739972484
6. 1484739972656
7. 1484739972828
8. 1484739973000
9. 1484739973203
10. 1484739973375
11. 1484739973578
12. 1484739973734
13. 1484739973921
14. 1484739974109
15. 1484739974312
16. 1484739974500
17. 1484739974937
18. 1484739975109
19. 1484739975296
20. 1484739975453
21. 1484739975656
22. 1484739975843
23. 1484739976046
24. 1484739976218
25. 1484739976421
26. 1484739976593
27. 1484739976796
28. 1484739976953
29. 1484739977156
30. 1484739977328
31. 1484739977562
32. 1484739977734
33. 1484739978015
34. 1484739978406
35. 1484739978687
36. 1484739979843
37. 1484739980296
38. 1484739980796
39. 1484739981234
40. 1484739982093
41. 1484739982593
42. 1484739982765
43. 1484739983062
44. 1484739983500
45. 1484739983703
46. 1484739983859
47. 1484739984062
48. 1484739984250
49. 1484739984750
50. 1484739985468
51. 1484739986859
52. 1484739991515
53. 1484739995296
54. 1484740016140
55. 1484740024984
56. 1484740052062
57. 1484740064187
58. 1484740091343
59. 1484740103453
60. 1484740115531
61. 1484740125406
62. 1484740152500
63. 1484740156500
64. 1484740183687
65. 1484740187921
66. 1484740191578
67. 1484740198640
68. 1484740205828
69. 1484740211140
70. 1484740211546
71. 1484740218078
72. 1484740230609
73. 1484740235515
74. 1484740235687
75. 1484740238281
76. 1484740239218
77. 1484740242453
78. 1484740245031
79. 1484740250359
80. 1484740257093
81. 1484740257578
82. 1484740258187
83. 1484740258781
84. 1484740259515
85. 1484740260140
86. 1484740261187
87. 1484740261671
88. 1484740261953
89. 1484740262484
90. 1484740262687
91. 1484740263015
92. 1484740263187
93. 1484740263593
94. 1484740263796
95. 1484740264062
96. 1484740264343
97. 1484740264625
98. 1484740264796
99. 1484740265125
100. 1484740265296
101. 1484740265734
102. 1484740266015
103. 1484740266296
104. 1484740266468
105. 1484740266843
106. 1484740267015
107. 1484740267296
108. 1484740267500
109. 1484740267890
110. 1484740268062
111. 1484740268343
112. 1484740268546
113. 1484740268921
