* 7:56pm Jan 18  2017
* a1 vs R05943148
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b4(k) b6(K)
* 2. b3(p) b2(M)
* 3. a4(n) b2-b3
* 4. b4-b3 b7(N)
* 5. c3(m) a6(r)
* 6. c2(c) b6-a6
* 7. d3(p) d2(g)
* 8. d1(G) d1-d2
* 9. c4(p) d2-c2
* 10. b3-b2 c2-d2
* 11. b2-c2 d2-d3
* 12. c2-d2 d3-c3
* 13. c7(P) c3-c4
* 14. c6(G) c4-b4
* 15. d7(C) b4-c4
* 16. c8(c) c6-b6
* 17. d6(r) d4(n)
* 18. d2-d1 c5(g)
* 19. c5-c4 b8(P)
* 20. d1-d2 d8(P)
* 21. c4-b4 a8(p)
* 22. d2-d1 a7(P)
* 23. d1-d2 a5(m)
* 24. b5(P) d5(R)
* 25. c1(p) b1(M)
* 26. d6-d7 b8-a8
* 27. a5-b5 a3(R)
* 28. d7-c7 b7-b8
* 29. c8-a8 b8-a8
* 30. d4-d3 b1-c1
* 31. a2(N) a1(C)
* 32. d2-d1 a1-d1
* 33. b5-c5 c1-c2
* 34. d3-d2 c2-d2
* 35. a4-a5 d5-d6
* 36. b4-a4 a3-b3
* 37. a4-b4 b3-b2
* 38. a5-a4 a6-a5
* 39. c5-c4 b2-b1
* 40. b4-b3 a8-b8
* 41. b3-b2 d1-c1
* 42. c7-c6 c1-c6
* 43. b2-b1 a5-a4
* 44. b1-b2 a2-a1
* 45. b2-b1 a1-a2
* 46. b1-b2 a2-a1
* 47. b2-b1 a1-a2
* 48. b1-b2 a2-a1
* 49. b2-b1 a1-a2
* 50. b1-b2
* Draws
* Comment 0 0
0. 1484740566140
1. 1484740566328
2. 1484740566500
3. 1484740566656
4. 1484740566937
5. 1484740567140
6. 1484740567312
7. 1484740567500
8. 1484740567671
9. 1484740567843
10. 1484740568015
11. 1484740568234
12. 1484740568406
13. 1484740568625
14. 1484740568828
15. 1484740569000
16. 1484740569171
17. 1484740569609
18. 1484740569781
19. 1484740570000
20. 1484740570171
21. 1484740570375
22. 1484740570546
23. 1484740570765
24. 1484740570953
25. 1484740571125
26. 1484740571296
27. 1484740571500
28. 1484740571671
29. 1484740571875
30. 1484740572062
31. 1484740572265
32. 1484740572453
33. 1484740572765
34. 1484740572937
35. 1484740573250
36. 1484740573421
37. 1484740573843
38. 1484740574234
39. 1484740574843
40. 1484740575250
41. 1484740575640
42. 1484740576156
43. 1484740576906
44. 1484740578390
45. 1484740580031
46. 1484740582171
47. 1484740584968
48. 1484740592890
49. 1484740602171
50. 1484740629343
51. 1484740636875
52. 1484740664046
53. 1484740669906
54. 1484740697109
55. 1484740705890
56. 1484740733078
57. 1484740745203
58. 1484740772281
59. 1484740774421
60. 1484740776328
61. 1484740784593
62. 1484740789015
63. 1484740790390
64. 1484740791421
65. 1484740797953
66. 1484740808078
67. 1484740810984
68. 1484740821421
69. 1484740828515
70. 1484740855609
71. 1484740859734
72. 1484740872640
73. 1484740879937
74. 1484740884625
75. 1484740896281
76. 1484740908625
77. 1484740913406
78. 1484740940484
79. 1484740953171
80. 1484740973171
81. 1484740976078
82. 1484741003187
83. 1484741007062
84. 1484741014031
85. 1484741017390
86. 1484741017593
87. 1484741019078
88. 1484741020031
89. 1484741020968
90. 1484741021171
91. 1484741022531
92. 1484741022750
93. 1484741023687
94. 1484741023906
95. 1484741025390
96. 1484741025562
97. 1484741026500
98. 1484741026687
