* 10:35pm Jan 18  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d3(P) d2(C)
* 2. c5(g) c4(p)
* 3. b4(P) c4-b4
* 4. b3(C) d5(P)
* 5. a4(g) b4-c4
* 6. b8(p) c5-d5
* 7. b7(m) c4-c5
* 8. b5(M) c5-c4
* 9. a8(m) a4-b4
* 10. a5(c) b4-b5
* 11. a6(N) d6(G)
* 12. d6-d5 a5-d5
* 13. c8(r) d1(K)
* 14. c1(p) c4-c5
* 15. b1(r) c1-d1
* 16. b3-b1 c3(n)
* 17. b1-b5 d7(c)
* 18. b5-d5 d4(R)
* 19. c6(P) c5-c6
* 20. a3(N) b2(G)
* 21. a2(P) c3-d3
* 22. d8(R) d7-d6
* 23. c7(M) b7-c7
* 24. d8-c8 c7-c8
* 25. a7(n) d3-d2
* 26. d5-d2 d6-d2
* 27. b6(p) a7-a6
* 28. b2-b3 c2(p)
* 29. b3-b2 d2-b2
* 30. a3-b3 a1(k)
* 31. a2-a1 b2-b1
* 32. b3-c3 c2-d2
* 33. a1-a2 b1-c1
* 34. c3-c2 c1-b1
* 35. c2-c1 b1-b2
* 36. c1-d1 b2-c2
* 37. a2-a1 c2-b2
* 38. d1-d2 b2-a2
* 39. d2-c2 a2-a3
* 40. d4-d3 c8-c7
* 41. c2-c3 a3-a4
* 42. c3-b3 a4-a5
* 43. a1-b1 a5-b5
* 44. b1-c1 b5-c5
* 45. c1-d1 c5-d5
* 46. d1-c1 d5-c5
* 47. c1-d1 c5-d5
* 48. d1-c1 d5-c5
* 49. c1-d1 c5-d5
* 50. d1-c1 d5-c5
* 51. c1-d1
* Draws
* Comment 0 0
0. 1484750158093
1. 1484750158265
2. 1484750158437
3. 1484750158640
4. 1484750158828
5. 1484750159000
6. 1484750159187
7. 1484750159390
8. 1484750159593
9. 1484750159781
10. 1484750159984
11. 1484750160281
12. 1484750160515
13. 1484750160703
14. 1484750160890
15. 1484750161125
16. 1484750161312
17. 1484750161500
18. 1484750161687
19. 1484750161906
20. 1484750162109
21. 1484750162296
22. 1484750162500
23. 1484750162703
24. 1484750162890
25. 1484750163109
26. 1484750163296
27. 1484750163546
28. 1484750163750
29. 1484750163953
30. 1484750164156
31. 1484750164359
32. 1484750164531
33. 1484750164750
34. 1484750165156
35. 1484750165359
36. 1484750165546
37. 1484750166078
38. 1484750166515
39. 1484750167031
40. 1484750167656
41. 1484750169062
42. 1484750170218
43. 1484750175562
44. 1484750177078
45. 1484750198109
46. 1484750230312
47. 1484750235562
48. 1484750248750
49. 1484750258578
50. 1484750290671
51. 1484750291078
52. 1484750314140
53. 1484750316078
54. 1484750348265
55. 1484750348593
56. 1484750380750
57. 1484750384812
58. 1484750416968
59. 1484750417625
60. 1484750449765
61. 1484750455843
62. 1484750488000
63. 1484750489703
64. 1484750516468
65. 1484750516671
66. 1484750516843
67. 1484750518125
68. 1484750550312
69. 1484750553250
70. 1484750568578
71. 1484750568765
72. 1484750600921
73. 1484750601109
74. 1484750633218
75. 1484750633453
76. 1484750647968
77. 1484750648281
78. 1484750652625
79. 1484750653703
80. 1484750682656
81. 1484750683453
82. 1484750689000
83. 1484750689281
84. 1484750704421
85. 1484750704593
86. 1484750704781
87. 1484750705109
88. 1484750705281
89. 1484750705453
90. 1484750705640
91. 1484750705968
92. 1484750706140
93. 1484750706328
94. 1484750706531
95. 1484750706750
96. 1484750706953
97. 1484750707171
98. 1484750707328
99. 1484750707531
100. 1484750707703
