* 12:41am Jan 18  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a4(p) d6(m)
* 2. d5(M) d5-d6
* 3. c6(P) d8(r)
* 4. c5(P) a7(P)
* 5. c4(N) c8(R)
* 6. d8-c8 a3(p)
* 7. b5(c) c5-d5
* 8. a6(R) c4-c5
* 9. d4(C) c5-b5
* 10. b7(n) b3(k)
* 11. b2(p) d1(M)
* 12. a8(P) c2(G)
* 13. d3(C) c6-c5
* 14. c7(G) c7-c8
* 15. b1(g) c5-c6
* 16. a1(r) c6-c5
* 17. a2(m) c5-c6
* 18. d7(N) d5-c5
* 19. b8(c) d4-a4
* 20. a5(p) c8-b8
* 21. b7-a7 a4-a2
* 22. b6(g) d3-b3
* 23. a1-a2 a6-a7
* 24. d2(K) b3-b1
* 25. a2-a1 b5-a5
* 26. b6-c6 c1(p)
* 27. c6-d6 c2-b2
* 28. d6-d7 c3(n)
* 29. a1-b1 b2-b1
* 30. b4(P) b1-c1
* 31. a3-b3 b4-b3
* 32. c3-b3 c1-b1
* 33. b3-c3 b1-c1
* 34. c3-b3 c1-b1
* 35. b3-c3 b1-c1
* 36. c3-b3 c1-b1
* 37. b3-c3 b1-c1
* 38. c3-b3 c1-b1
* Draws
* Comment 0 0
0. 1484671320218
1. 1484671320406
2. 1484671320609
3. 1484671320796
4. 1484671320984
5. 1484671321171
6. 1484671321359
7. 1484671321546
8. 1484671321734
9. 1484671321921
10. 1484671322109
11. 1484671322343
12. 1484671322515
13. 1484671322750
14. 1484671322937
15. 1484671323312
16. 1484671323500
17. 1484671323921
18. 1484671324125
19. 1484671324531
20. 1484671324734
21. 1484671325140
22. 1484671325328
23. 1484671325843
24. 1484671326031
25. 1484671328656
26. 1484671328859
27. 1484671334421
28. 1484671334734
29. 1484671342578
30. 1484671343000
31. 1484671352156
32. 1484671352562
33. 1484671359968
34. 1484671361140
35. 1484671373265
36. 1484671375531
37. 1484671387750
38. 1484671393953
39. 1484671406218
40. 1484671416171
41. 1484671428281
42. 1484671429250
43. 1484671441484
44. 1484671468578
45. 1484671480812
46. 1484671490000
47. 1484671502250
48. 1484671529468
49. 1484671541687
50. 1484671562796
51. 1484671575031
52. 1484671602218
53. 1484671614437
54. 1484671639125
55. 1484671651359
56. 1484671678562
57. 1484671690687
58. 1484671717890
59. 1484671730031
60. 1484671747609
61. 1484671747812
62. 1484671751500
63. 1484671753531
64. 1484671753750
65. 1484671753921
66. 1484671754156
67. 1484671754359
68. 1484671754531
69. 1484671754734
70. 1484671754906
71. 1484671755109
72. 1484671755296
73. 1484671755484
74. 1484671755671
75. 1484671755859
